TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE
Condo for sale,728000,3,2,1890,40.55065,-74.193355
House for sale,314900,3,3,1200,40.674494,-73.888376
House for sale,2848000,6,2,4443,40.720289,-73.778693
House for sale,1298000,3,2,2046,40.723952,-73.874778
Co-op for sale,1095000,4,4,2500,40.756476,-73.721201
Condo for sale,434900,3,2,1286,40.608576,-74.161039
Co-op for sale,375000,2,2,1350,40.893847,-73.909137
Townhouse for sale,4680000,3,4,2400,40.748995,-73.978382
Co-op for sale,549000,2,2,1200,40.724514,-73.845844
House for sale,549000,3,1,1400,40.636854,-74.112457
House for sale,950000,3,2,1520,40.715727,-73.856345
Townhouse for sale,5600000,6,6,4917,40.737535,-73.987245
Multi-family home for sale,1600000,8,6,3472,40.718969,-73.862604
Townhouse for sale,6995000,5,2,3912,40.773213,-73.956428
House for sale,399000,3,2,1350,40.679832,-73.82277
Townhouse for sale,2200000,6,3,2385,40.662106,-73.985758
Multi-family home for sale,898888,5,2,1550,40.728238,-73.715812
House for sale,1250000,5,4,3427,40.539558,-74.222908
Multi-family home for sale,1188000,3,2,2240,40.608553,-73.998257
Multi-family home for sale,869999,5,3,2080,40.600553,-74.131451
Co-op for sale,219000,3,1,1050,40.598891,-73.933468
House for sale,210000,3,2,1840,40.664748,-73.884184
Co-op for sale,298000,3,2,1100,40.836324,-73.865476
House for sale,1248888,4,4,3500,40.564631,-74.124325
Condo for sale,3795000,3,2,1887,40.702988,-73.99078
House for sale,650000,4,1,1152,40.566306,-74.152955
Multi-family home for sale,1650000,9,5,4320,40.590659,-73.981832
House for sale,700000,3,2,1620,40.884402,-73.902834
Condo for sale,379000,1,2,704,40.845063,-73.783581
House for sale,1150000,3,2,1376,40.614924,-73.978928
Co-op for sale,568888,3,2,1100,40.732222,-73.858885
House for sale,1200000,4,3,2052,40.59194,-74.108741
Condo for sale,799999,3,2,1200,40.785914,-73.786878
House for sale,669999,4,2,1196,40.559812,-74.158517
House for sale,548800,3,4,1440,40.640946,-74.085993
House for sale,950000,4,2,2200,40.679541,-73.890443
Co-op for sale,185000,2,1,600,40.833945,-73.943236
House for sale,1688888,4,3,2364,40.777352,-73.74643
House for sale,950000,4,2,2200,40.679541,-73.890443
House for sale,1688888,4,3,2364,40.777352,-73.74643
House for sale,899000,3,4,2208,40.595555,-74.167794
House for sale,899000,2,1,1130,40.760419,-73.996809
Co-op for sale,120000,2,1,600,40.868366,-73.883209
Co-op for sale,229000,2,1,950,40.899519,-73.862368
Multi-family home for sale,1498000,9,8,2961,40.578415,-74.006463
